win;survivors;average;best;bestever
0;0;7.83149;52.3462;52.3462
0;0;23.8462;105.486;105.486
1;11;386.5;824.042;824.042
0;0;46.0868;105.486;824.042
0;0;61.6029;128.891;824.042
0;0;61.682;204.926;824.042
1;4;129.195;571.145;824.042
0;0;47.8799;140.986;824.042
0;0;79.2798;218.345;824.042
1;3;107.742;418.932;824.042
0;0;47.5429;105.486;824.042
1;9;289.489;721.53;824.042
0;0;34.3332;83.2257;824.042
1;11;381.058;879.555;879.555
0;0;68.5097;191.707;879.555
0;0;64.2991;178.695;879.555
0;0;60.7595;178.695;879.555
1;6;174.851;548.748;879.555
0;0;65.9192;140.986;879.555
0;0;65.3368;140.986;879.555
0;0;53.898;140.986;879.555
0;0;65.8855;140.986;879.555
0;0;70.4184;153.325;879.555
0;0;39.2425;94.2037;879.555
1;7;215.442;691.988;879.555
0;0;47.6979;117.053;879.555
0;0;42.8709;94.2037;879.555
0;0;69.7368;165.898;879.555
0;0;48.6856;94.2037;879.555
1;11;382.723;805.725;879.555
0;0;42.1424;94.2037;879.555
0;0;44.0514;105.486;879.555
0;0;66.253;153.325;879.555
0;0;66.2997;178.695;879.555
0;0;59.8437;140.986;879.555
0;0;53.4983;153.325;879.555
1;4;126.476;488.249;879.555
0;0;62.1217;165.898;879.555
0;0;61.0936;153.325;879.555
0;0;49.2315;105.486;879.555
1;3;100.76;312.465;879.555
0;0;51.2188;105.486;879.555
1;5;150.903;543.181;879.555
0;0;71.1097;165.898;879.555
1;11;385.412;842.454;879.555
0;0;66.6339;153.325;879.555
0;0;55.6933;128.891;879.555
1;9;285.186;668.563;879.555
1;1;87.6967;165.898;879.555
0;0;47.0181;117.053;879.555
0;0;68.6037;165.898;879.555
1;13;515.472;948.517;948.517
1;8;240.327;645.325;948.517
0;0;75.026;204.926;948.517
0;0;83.7988;288.219;948.517
1;12;453.616;867.147;948.517
1;5;147.644;461.3;948.517
0;0;51.6449;105.486;948.517
0;0;59.7308;153.325;948.517
1;11;386.833;805.725;948.517
1;10;332.985;763.36;948.517
0;0;59.5418;165.898;948.517
0;0;73.4738;140.986;948.517
0;0;66.9241;165.898;948.517
1;11;400.118;860.958;948.517
0;0;70.8543;128.891;948.517
1;9;295.436;757.351;948.517
0;0;75.4646;231.957;948.517
1;11;387.23;879.555;948.517
0;0;61.0337;117.053;948.517
1;7;211.819;639.545;948.517
0;0;61.7889;153.325;948.517
0;0;66.4204;191.707;948.517
1;5;164.419;593.746;948.517
0;0;66.4369;165.898;948.517
1;6;179.417;532.087;948.517
1;9;300.838;739.39;948.517
0;0;60.7846;153.325;948.517
1;7;213.505;605.122;948.517
1;13;517.361;1025.09;1025.09
0;0;46.9634;105.486;1025.09
0;0;74.7895;191.707;1025.09
1;13;541.862;1005.82;1025.09
1;12;459.358;942.198;1025.09
0;0;68.2197;140.986;1025.09
0;0;46.1835;117.053;1025.09
1;5;155.003;461.3;1025.09
1;1;88.0956;191.707;1025.09
0;0;47.0897;117.053;1025.09
0;0;62.4158;117.053;1025.09
1;9;290.417;757.351;1025.09
0;0;53.1326;117.053;1025.09
0;0;67.0519;165.898;1025.09
0;0;69.4181;178.695;1025.09
1;7;207.652;571.145;1025.09
1;9;299.61;703.771;1025.09
1;4;120.001;347.148;1025.09
1;7;214.579;691.988;1025.09
1;12;449.233;923.301;1025.09
0;0;45.7911;128.891;1025.09
