win;survivors;average;best;bestever
0;0;5.28268;33.8002;33.8002
0;0;57.1473;165.898;165.898
0;0;16.2249;42.8405;165.898
0;0;35.6464;94.2037;165.898
0;0;34.095;94.2037;165.898
0;0;62.2822;165.898;165.898
0;0;40.044;94.2037;165.898
0;0;44.4231;140.986;165.898
0;0;29.6413;105.486;165.898
0;0;27.3443;72.5726;165.898
0;0;34.7791;94.2037;165.898
0;0;25.9831;83.2257;165.898
0;0;35.9739;117.053;165.898
0;0;63.283;165.898;165.898
0;0;21.799;62.2694;165.898
0;0;32.0344;94.2037;165.898
0;0;40.6493;105.486;165.898
0;0;50.2829;140.986;165.898
0;0;36.7664;105.486;165.898
0;0;32.9319;105.486;165.898
0;0;27.9309;105.486;165.898
0;0;38.3214;128.891;165.898
0;0;41.6466;128.891;165.898
0;0;21.0001;117.053;165.898
0;0;37.39;94.2037;165.898
0;0;16.5698;52.3462;165.898
0;0;25.0843;52.3462;165.898
0;0;32.3246;94.2037;165.898
0;0;27.8792;52.3462;165.898
0;0;18.5257;62.2694;165.898
0;0;46.8079;117.053;165.898
0;0;31.6476;128.891;165.898
0;0;16.5714;42.8405;165.898
0;0;51.0274;140.986;165.898
0;0;34.2478;105.486;165.898
0;0;20.2811;83.2257;165.898
0;0;34.058;94.2037;165.898
0;0;19.1875;94.2037;165.898
0;0;20.449;52.3462;165.898
0;0;11.5627;42.8405;165.898
0;0;19.4398;72.5726;165.898
0;0;27.8027;105.486;165.898
0;0;29.6826;72.5726;165.898
0;0;36.4443;94.2037;165.898
0;0;37.5924;94.2037;165.898
0;0;8.70349;42.8405;165.898
0;0;38.463;83.2257;165.898
0;0;32.1041;105.486;165.898
1;5;152.144;559.92;559.92
0;0;28.9346;105.486;559.92
0;0;28.2973;83.2257;559.92
1;8;249.375;680.252;680.252
0;0;63.4382;153.325;680.252
0;0;83.4196;204.926;680.252
1;7;207.664;674.402;680.252
0;0;32.6194;105.486;680.252
0;0;58.2477;245.756;680.252
0;0;44.5061;117.053;680.252
0;0;25.3361;83.2257;680.252
0;0;68.8737;178.695;680.252
0;0;26.8895;72.5726;680.252
0;0;77.7836;153.325;680.252
0;0;59.1044;140.986;680.252
0;0;57.8877;178.695;680.252
0;0;19.3634;62.2694;680.252
0;0;58.0247;117.053;680.252
0;0;47.3425;128.891;680.252
0;0;46.1935;128.891;680.252
0;0;43.6786;128.891;680.252
0;0;70.8743;191.707;680.252
0;0;39.7892;105.486;680.252
0;0;48.4141;140.986;680.252
0;0;41.0848;105.486;680.252
0;0;34.4319;83.2257;680.252
0;0;38.0118;128.891;680.252
1;9;269.323;633.778;680.252
0;0;34.4439;128.891;680.252
0;0;50.7936;140.986;680.252
0;0;56.7902;117.053;680.252
0;0;56.5619;178.695;680.252
0;0;31.2614;105.486;680.252
0;0;69.5522;140.986;680.252
0;0;63.9878;165.898;680.252
0;0;32.9911;117.053;680.252
1;7;203.932;691.988;691.988
0;0;37.2427;117.053;691.988
0;0;51.4767;94.2037;691.988
0;0;39.9805;117.053;691.988
0;0;35.229;117.053;691.988
0;0;38.9208;94.2037;691.988
0;0;38.6222;128.891;691.988
