win;survivors;average;best;bestever
0;0;13811.3;93631.3;93631.3
1;12;44733.7;110620;110620
1;3;47623.8;114009;114009
1;5;57303.3;103317;114009
0;0;69270.6;119199;119199
0;0;50510.1;118130;119199
0;0;48753.9;111239;119199
0;0;46201.3;114446;119199
0;0;49716.5;111766;119199
0;0;72712.2;114767;119199
0;0;73118.8;116569;119199
0;0;83078.3;115203;119199
1;10;83206.3;112784;119199
1;9;83838.6;115753;119199
0;0;73345.6;119122;119199
0;0;70541.9;118645;119199
0;0;72840.5;122417;122417
0;0;69259.3;114748;122417
0;0;70386.3;106618;122417
0;0;70591.9;121456;122417
