win;survivors;average;best;bestever
0;0;2.7312;25.2892;25.2892
0;0;36.1027;117.053;117.053
0;0;18.2888;52.3462;117.053
0;0;32.6561;105.486;117.053
0;0;43.2494;117.053;117.053
1;8;239.125;610.828;610.828
0;0;36.3184;105.486;610.828
0;0;58.5263;140.986;610.828
0;0;46.4038;105.486;610.828
1;11;388.839;879.555;879.555
0;0;30.7308;83.2257;879.555
0;0;62.3218;153.325;879.555
0;0;45.4094;140.986;879.555
0;0;77.7824;165.898;879.555
0;0;83.154;245.756;879.555
0;0;34.0488;62.2694;879.555
0;0;61.4375;165.898;879.555
0;0;62.0529;165.898;879.555
0;0;39.3989;83.2257;879.555
1;9;300.141;757.351;879.555
0;0;71.8376;191.707;879.555
1;9;283.276;703.771;879.555
1;4;122.118;377.531;879.555
0;0;52.4067;165.898;879.555
0;0;67.638;178.695;879.555
0;0;65.597;140.986;879.555
1;12;447.325;885.775;885.775
1;7;209.117;605.122;885.775
0;0;83.1816;218.345;885.775
1;8;257.108;680.252;885.775
0;0;66.6414;178.695;885.775
1;5;151.799;526.56;885.775
0;0;71.4098;231.957;885.775
0;0;80.8684;178.695;885.775
0;0;68.2246;153.325;885.775
0;0;65.3579;191.707;885.775
0;0;62.2877;128.891;885.775
0;0;45.5829;94.2037;885.775
1;10;341.928;817.926;885.775
0;0;29.389;105.486;885.775
1;5;147.445;515.546;885.775
0;0;29.416;105.486;885.775
0;0;71.1814;178.695;885.775
1;9;305.839;757.351;885.775
0;0;35.217;117.053;885.775
0;0;45.2093;117.053;885.775
0;0;61.9015;128.891;885.775
1;14;588.649;993.017;993.017
0;0;58.7042;153.325;993.017
1;6;162.417;532.087;993.017
0;0;54.9879;140.986;993.017
1;4;125.789;472.037;993.017
0;0;53.123;128.891;993.017
1;8;245.206;662.735;993.017
1;6;169.064;582.42;993.017
0;0;41.2038;105.486;993.017
0;0;53.9163;117.053;993.017
1;8;257.115;703.771;993.017
1;9;287.647;721.53;993.017
1;7;212.87;727.472;993.017
0;0;49.0315;117.053;993.017
0;0;52.8513;128.891;993.017
1;4;129.444;424.176;993.017
0;0;39.7376;117.053;993.017
0;0;64.25;128.891;993.017
1;5;141.527;526.56;993.017
0;0;38.4944;94.2037;993.017
0;0;72.6543;165.898;993.017
0;0;54.5808;140.986;993.017
1;4;124.258;408.489;993.017
0;0;66.3847;178.695;993.017
1;13;523.396;948.517;993.017
0;0;55.5917;117.053;993.017
0;0;70.7943;218.345;993.017
0;0;66.3787;191.707;993.017
1;3;105.922;418.932;993.017
0;0;69.9152;204.926;993.017
1;11;382.854;787.504;993.017
0;0;83.6089;191.707;993.017
0;0;65.193;140.986;993.017
0;0;70.3082;245.756;993.017
0;0;47.7859;128.891;993.017
1;9;289.633;691.988;993.017
1;6;164.771;605.122;993.017
1;9;275.073;739.39;993.017
0;0;48.6768;117.053;993.017
0;0;58.3351;153.325;993.017
1;10;332.269;799.641;993.017
1;6;172.712;532.087;993.017
0;0;19.0845;42.8405;993.017
1;6;170.166;548.748;993.017
0;0;53.3693;153.325;993.017
0;0;80.2948;273.892;993.017
0;0;53.048;117.053;993.017
1;10;332.448;727.472;993.017
0;0;27.4012;72.5726;993.017
0;0;69.2335;140.986;993.017
0;0;40.7164;94.2037;993.017
1;3;117.828;482.831;993.017
0;0;62.8116;191.707;993.017
