win;survivors;average;best;bestever
0;0;8.05719;62.2694;62.2694
0;0;39.5606;117.053;117.053
0;0;42.5766;117.053;117.053
0;0;35.4975;83.2257;117.053
0;1;59.0657;153.325;153.325
0;1;59.4019;204.926;204.926
0;0;41.2889;83.2257;204.926
0;0;71.224;231.957;231.957
0;0;70.7489;153.325;231.957
0;1;52.0682;165.898;231.957
0;0;74.9439;288.219;288.219
0;0;62.3854;153.325;288.219
0;0;92.6062;191.707;288.219
0;0;117.471;288.219;288.219
0;0;108.547;273.892;288.219
0;0;141.696;347.148;347.148
0;0;109.071;332.181;347.148
0;0;87.6963;218.345;347.148
0;0;72.1038;153.325;347.148
0;0;126.671;245.756;347.148
0;0;124.076;273.892;347.148
0;0;70.0448;153.325;347.148
0;0;70.9565;191.707;347.148
0;0;130.827;332.181;347.148
0;0;73.6945;191.707;347.148
0;0;98.4711;204.926;347.148
0;0;108.239;231.957;347.148
0;0;74.0059;140.986;347.148
0;0;91.9308;231.957;347.148
0;0;88.0516;245.756;347.148
0;0;78.988;259.736;347.148
0;0;78.8963;245.756;347.148
0;0;74.6241;245.756;347.148
0;0;88.2945;245.756;347.148
0;0;89.3138;191.707;347.148
0;0;117.516;302.713;347.148
0;0;93.6234;191.707;347.148
0;0;111.25;231.957;347.148
0;0;73.1855;153.325;347.148
0;0;64.708;165.898;347.148
0;0;156.41;362.266;362.266
0;0;104.092;204.926;362.266
0;0;90.5116;273.892;362.266
0;0;83.3561;204.926;362.266
0;0;99.0454;302.713;362.266
0;0;80.0378;165.898;362.266
0;0;105.161;302.713;362.266
0;0;92.0238;273.892;362.266
0;0;110.343;245.756;362.266
0;0;92.5835;204.926;362.266
0;0;61.1399;140.986;362.266
1;5;237.622;766.368;766.368
0;0;76.8224;140.986;766.368
0;0;93.2819;259.736;766.368
0;0;79.6048;204.926;766.368
0;0;84.7222;218.345;766.368
0;0;77.8905;165.898;766.368
0;0;95.0191;204.926;766.368
0;0;87.6179;204.926;766.368
0;0;115.488;273.892;766.368
0;0;80.0579;245.756;766.368
0;0;92.0148;218.345;766.368
0;0;89.748;231.957;766.368
0;0;99.5342;204.926;766.368
0;0;72.9708;153.325;766.368
0;0;80.9084;259.736;766.368
0;0;76.959;165.898;766.368
0;0;78.3063;231.957;766.368
0;0;112.502;259.736;766.368
0;0;111.226;245.756;766.368
0;0;122.403;302.713;766.368
0;0;79.5221;191.707;766.368
0;0;97.1165;204.926;766.368
0;0;83.7152;231.957;766.368
0;0;119.57;288.219;766.368
0;0;152.424;377.531;766.368
0;0;112.805;259.736;766.368
0;0;80.7058;191.707;766.368
0;0;68.3643;165.898;766.368
0;0;115.412;259.736;766.368
1;2;172.761;477.427;766.368
0;0;108.517;245.756;766.368
0;0;100.682;204.926;766.368
0;0;86.8625;178.695;766.368
0;0;130.887;302.713;766.368
0;0;128.393;288.219;766.368
0;0;124.913;218.345;766.368
0;0;131.487;288.219;766.368
0;0;126.493;273.892;766.368
0;0;87.5833;165.898;766.368
0;0;77.3425;178.695;766.368
0;0;134.593;218.345;766.368
0;0;130.244;347.148;766.368
0;0;85.873;231.957;766.368
0;0;84.5244;218.345;766.368
0;0;92.2052;165.898;766.368
0;0;123.119;302.713;766.368
0;0;148.439;302.713;766.368
0;0;117.182;259.736;766.368
0;0;86.6434;204.926;766.368
