win;survivors;average;best;bestever
0;0;3.46907;25.2892;25.2892
0;0;43.704;105.486;105.486
0;0;23.1842;140.986;140.986
0;0;64.666;117.053;140.986
0;0;48.5113;94.2037;140.986
0;0;40.3716;94.2037;140.986
0;0;73.2128;140.986;140.986
0;0;46.1563;117.053;140.986
0;0;58.3194;128.891;140.986
0;0;78.973;128.891;140.986
0;0;76.0245;165.898;165.898
0;0;69.0865;128.891;165.898
0;0;53.4427;128.891;165.898
0;0;84.5048;204.926;204.926
0;0;42.4867;105.486;204.926
0;0;43.2569;117.053;204.926
0;0;36.8365;128.891;204.926
0;0;65.2109;153.325;204.926
0;0;37.0397;94.2037;204.926
0;0;49.9464;128.891;204.926
0;0;56.855;153.325;204.926
0;0;87.0992;245.756;245.756
0;0;56.1989;178.695;245.756
0;0;69.601;178.695;245.756
0;0;89.8207;218.345;245.756
0;0;64.2063;165.898;245.756
0;0;62.2275;140.986;245.756
0;0;47.6261;105.486;245.756
0;0;46.8562;105.486;245.756
0;0;50.6597;117.053;245.756
0;0;47.2117;117.053;245.756
0;0;89.0094;245.756;245.756
0;0;74.7309;231.957;245.756
0;0;49.057;140.986;245.756
0;0;41.4636;153.325;245.756
0;0;59.7215;165.898;245.756
0;0;70.0711;153.325;245.756
0;0;76.8822;231.957;245.756
0;0;87.0063;218.345;245.756
0;0;53.1303;191.707;245.756
0;0;37.0681;83.2257;245.756
0;0;77.018;191.707;245.756
0;0;92.9807;231.957;245.756
0;0;66.742;153.325;245.756
0;0;72.634;153.325;245.756
0;0;60.782;140.986;245.756
0;0;64.2649;165.898;245.756
0;0;61.1778;117.053;245.756
0;0;83.6495;259.736;259.736
0;0;73.6953;191.707;259.736
0;0;46.3487;165.898;259.736
0;0;53.8792;140.986;259.736
0;0;37.5897;117.053;259.736
0;0;44.6182;128.891;259.736
0;0;56.4228;128.891;259.736
0;0;74.2608;273.892;273.892
0;0;94.7628;231.957;273.892
0;0;57.5597;204.926;273.892
0;0;76.0371;231.957;273.892
0;0;48.438;140.986;273.892
0;0;68.9264;153.325;273.892
0;0;59.8969;153.325;273.892
0;0;34.3772;105.486;273.892
0;0;50.0571;117.053;273.892
0;0;46.8608;117.053;273.892
0;0;92.8191;218.345;273.892
0;0;67.2502;178.695;273.892
0;0;108.429;231.957;273.892
0;0;63.3836;218.345;273.892
0;0;62.2189;178.695;273.892
0;0;41.9442;105.486;273.892
0;0;51.214;153.325;273.892
0;0;52.5565;178.695;273.892
0;0;47.9275;204.926;273.892
0;0;46.2537;153.325;273.892
0;0;62.8622;140.986;273.892
0;0;48.4321;140.986;273.892
0;1;54.8407;165.898;273.892
0;0;89.678;273.892;273.892
0;0;59.8501;153.325;273.892
0;0;36.6445;72.5726;273.892
0;0;60.5469;140.986;273.892
0;0;55.0806;128.891;273.892
0;0;52.4342;140.986;273.892
0;0;81.4548;231.957;273.892
0;0;70.9958;178.695;273.892
0;0;101.444;273.892;273.892
0;0;48.2708;117.053;273.892
0;0;54.3932;273.892;273.892
0;0;61.6395;245.756;273.892
0;0;63.2234;153.325;273.892
0;0;74.8293;191.707;273.892
0;0;24.723;72.5726;273.892
0;0;41.1018;94.2037;273.892
0;0;20.539;72.5726;273.892
0;0;50.1739;117.053;273.892
0;0;63.9126;117.053;273.892
0;0;61.9301;117.053;273.892
0;0;39.2042;83.2257;273.892
0;0;39.9962;117.053;273.892
