win;survivors;average;best;bestever
0;0;8937.21;89068;89068
0;0;62802.8;127027;127027
0;0;77290.1;122857;127027
0;1;85130.5;188173;188173
0;0;81494.7;139609;188173
0;0;83792.8;153146;188173
0;0;93869.7;158673;188173
0;0;86205.6;125440;188173
0;0;92308.6;165686;188173
0;0;83407.8;133931;188173
0;0;92446.3;130800;188173
0;0;88044.5;145621;188173
0;0;77580.9;150722;188173
0;0;81581.6;127105;188173
0;0;83731;140085;188173
0;0;81605.5;133970;188173
0;0;71347.7;149875;188173
0;0;84251.1;138698;188173
0;0;94546.1;133852;188173
0;0;90434.1;142070;188173
