win;survivors;average;best;bestever
0;0;4.31973;52.3462;52.3462
0;0;26.4755;62.2694;62.2694
0;0;39.0159;83.2257;83.2257
0;0;46.4882;105.486;105.486
0;0;47.6177;94.2037;105.486
0;0;53.4733;128.891;128.891
0;0;48.0899;105.486;128.891
0;0;48.1692;94.2037;128.891
0;0;71.0587;153.325;153.325
0;0;66.2913;165.898;165.898
0;0;58.5908;128.891;165.898
0;0;50.4059;117.053;165.898
0;0;48.1115;165.898;165.898
0;0;58.2267;128.891;165.898
0;0;65.4963;128.891;165.898
0;0;80.1951;165.898;165.898
0;0;71.0451;153.325;165.898
0;0;55.194;153.325;165.898
0;0;75.1916;191.707;191.707
0;1;61.4615;128.891;191.707
0;0;72.6361;191.707;191.707
0;0;61.6939;153.325;191.707
0;1;82.0037;204.926;204.926
0;0;73.6447;218.345;218.345
0;0;90.6702;273.892;273.892
0;0;59.0771;153.325;273.892
0;0;61.7517;140.986;273.892
0;0;84.1114;231.957;273.892
0;1;69.0399;153.325;273.892
0;0;68.2663;204.926;273.892
0;0;49.0935;117.053;273.892
0;0;63.4657;153.325;273.892
0;0;66.8082;153.325;273.892
0;0;70.1297;140.986;273.892
0;0;44.2526;94.2037;273.892
0;0;76.7923;153.325;273.892
0;0;73.6293;191.707;273.892
0;0;78.1087;178.695;273.892
0;0;58.3859;105.486;273.892
0;0;72.9598;153.325;273.892
0;0;71.5371;204.926;273.892
0;0;49.1546;117.053;273.892
0;0;74.1567;178.695;273.892
0;0;57.6303;140.986;273.892
0;0;57.2311;140.986;273.892
0;0;66.4026;165.898;273.892
0;0;92.9379;218.345;273.892
0;0;70.8437;165.898;273.892
0;0;71.2054;153.325;273.892
0;0;91.1689;178.695;273.892
0;1;58.7336;128.891;273.892
0;0;84.4709;178.695;273.892
0;0;105.868;178.695;273.892
0;0;93.5763;245.756;273.892
0;0;104.241;231.957;273.892
0;0;106.977;259.736;273.892
0;0;108.84;288.219;288.219
0;0;108.601;302.713;302.713
0;0;88.844;204.926;302.713
0;0;93.4197;288.219;302.713
0;0;67.9371;165.898;302.713
0;0;84.696;153.325;302.713
0;0;115.587;273.892;302.713
0;0;104.374;191.707;302.713
0;0;80.1683;204.926;302.713
0;0;94.2238;231.957;302.713
0;1;89.3182;191.707;302.713
0;0;71.578;153.325;302.713
0;0;74.2945;178.695;302.713
0;0;73.5807;153.325;302.713
0;0;151.782;302.713;302.713
0;0;136.948;288.219;302.713
0;0;128.326;273.892;302.713
0;0;115.822;218.345;302.713
0;0;76.905;191.707;302.713
0;0;104.632;288.219;302.713
0;0;77.2794;191.707;302.713
0;0;70.164;191.707;302.713
0;0;180.506;377.531;377.531
0;0;151.13;362.266;377.531
0;0;80.0647;153.325;377.531
0;0;95.3735;218.345;377.531
0;0;78.2074;153.325;377.531
0;0;65.8158;153.325;377.531
0;0;77.4114;231.957;377.531
0;0;97.9454;204.926;377.531
0;0;66.0563;178.695;377.531
0;0;118.693;245.756;377.531
1;7;312.732;739.39;739.39
0;0;85.8189;231.957;739.39
0;0;114.391;259.736;739.39
0;0;89.1205;191.707;739.39
0;0;107.679;259.736;739.39
0;0;92.7658;245.756;739.39
0;1;104.477;231.957;739.39
0;0;79.3784;178.695;739.39
0;0;127.144;302.713;739.39
0;0;117.962;332.181;739.39
0;0;83.3271;204.926;739.39
0;0;106.097;218.345;739.39
