win;survivors;average;best;bestever
0;0;41.9557;297.863;297.863
0;0;157.063;398.107;398.107
0;0;76.2861;450.62;450.62
0;0;113.924;347.148;450.62
0;0;209.301;450.62;450.62
0;0;163.761;347.148;450.62
0;0;283.031;917.022;917.022
0;0;289.687;559.92;917.022
0;0;279.659;559.92;917.022
1;5;440.644;1208.89;1208.89
0;0;214.884;559.92;1208.89
1;5;479.887;1142.45;1208.89
0;0;208.184;559.92;1208.89
0;0;295.335;616.547;1208.89
0;0;225.092;674.402;1208.89
0;0;297.289;733.425;1208.89
0;0;249.42;616.547;1208.89
0;0;337.176;854.78;1208.89
0;0;159.286;559.92;1208.89
1;3;401.55;1142.45;1208.89
0;0;284.27;616.547;1208.89
0;0;220.293;559.92;1208.89
0;0;235.807;674.402;1208.89
0;0;283.354;674.402;1208.89
0;0;247.89;559.92;1208.89
0;0;236.298;616.547;1208.89
1;9;648.525;1696.64;1696.64
1;6;557.349;1518.12;1696.64
0;0;359.782;917.022;1696.64
1;4;437.234;917.022;1696.64
1;7;571.542;1482.97;1696.64
0;0;296.298;854.78;1696.64
1;3;413.863;1242.44;1696.64
1;5;485.438;1344.32;1696.64
0;0;307.987;917.022;1696.64
1;8;609.279;1482.97;1696.64
1;4;430.43;1518.12;1696.64
1;6;536.559;1588.98;1696.64
1;5;495.071;1482.97;1696.64
1;9;692.965;1769.31;1769.31
1;4;452.006;1310.15;1769.31
0;0;261.964;616.547;1769.31
0;0;311.248;733.425;1769.31
0;0;250.931;559.92;1769.31
1;4;407.379;1044.44;1769.31
0;0;237.851;559.92;1769.31
0;0;236.396;616.547;1769.31
0;0;294.563;559.92;1769.31
1;10;785.664;1732.89;1769.31
0;0;300.551;674.402;1769.31
0;0;318.795;793.567;1769.31
1;7;571.058;1448.01;1769.31
1;6;543.151;1518.12;1769.31
1;10;768.642;1805.91;1805.91
1;6;560.835;1588.98;1805.91
0;0;236.875;559.92;1805.91
0;0;326.405;733.425;1805.91
0;0;261.59;793.567;1805.91
1;6;515.642;1208.89;1805.91
0;0;229.146;733.425;1805.91
0;0;302.976;793.567;1805.91
1;2;395.73;1142.45;1805.91
0;0;178.912;450.62;1805.91
0;0;298.693;674.402;1805.91
0;0;237.706;504.586;1805.91
0;0;301.897;674.402;1805.91
0;0;211.397;504.586;1805.91
0;0;319.982;674.402;1805.91
0;0;221.865;450.62;1805.91
1;8;570.284;1208.89;1805.91
0;0;234.602;616.547;1805.91
0;0;242.389;559.92;1805.91
0;0;345.888;854.78;1805.91
0;0;258.478;793.567;1805.91
1;8;565.682;1660.57;1805.91
0;0;278.402;616.547;1805.91
0;0;260.233;504.586;1805.91
1;6;502.072;1208.89;1805.91
0;0;266.299;616.547;1805.91
1;5;510.448;1310.15;1805.91
0;0;357.213;733.425;1805.91
1;4;452.629;1344.32;1805.91
0;0;296.356;917.022;1805.91
0;0;256.32;559.92;1805.91
1;3;422.14;1012.23;1805.91
0;0;271.545;733.425;1805.91
1;5;464.004;1378.69;1805.91
0;0;349.83;793.567;1805.91
0;0;220.281;504.586;1805.91
0;0;234.502;559.92;1805.91
1;5;486.581;1242.44;1805.91
0;0;352.834;793.567;1805.91
1;7;514.385;1378.69;1805.91
0;0;273.026;674.402;1805.91
0;0;233.288;504.586;1805.91
1;6;529.221;1208.89;1805.91
0;0;296.307;733.425;1805.91
1;12;948.416;1879.61;1879.61
1;5;473.742;1413.25;1879.61
1;5;522.902;1344.32;1879.61
