win;survivors;average;best;bestever
0;0;21.3539;204.926;204.926
0;0;166.454;450.62;450.62
0;0;116.448;250.396;450.62
0;0;358.977;733.425;733.425
0;0;353.898;854.78;854.78
1;12;901.815;1953.99;1953.99
0;0;367.479;733.425;1953.99
0;0;309.197;733.425;1953.99
0;0;180.946;398.107;1953.99
0;0;223.034;674.402;1953.99
0;0;178.521;450.62;1953.99
0;0;157.625;674.402;1953.99
0;0;104.605;347.148;1953.99
0;0;200.841;616.547;1953.99
0;0;224.473;559.92;1953.99
0;0;231.479;559.92;1953.99
0;0;275.057;616.547;1953.99
0;0;214.886;559.92;1953.99
0;0;222.878;733.425;1953.99
0;0;176.341;398.107;1953.99
0;0;94.8928;504.586;1953.99
0;0;202.983;559.92;1953.99
0;0;112.712;347.148;1953.99
0;0;228.496;616.547;1953.99
0;0;353.718;980.255;1953.99
1;15;1242.75;1953.99;1953.99
0;0;169.922;504.586;1953.99
0;0;331.924;733.425;1953.99
1;0;377.885;793.567;1953.99
0;0;357.504;917.022;1953.99
0;0;280.953;616.547;1953.99
0;0;211.739;450.62;1953.99
0;0;113.367;504.586;1953.99
0;0;250.337;674.402;1953.99
0;0;181.388;504.586;1953.99
0;0;127.828;450.62;1953.99
0;0;140.157;398.107;1953.99
0;0;273.786;793.567;1953.99
0;0;322.914;733.425;1953.99
0;0;290.965;616.547;1953.99
0;0;176.025;674.402;1953.99
0;0;264.743;733.425;1953.99
0;0;44.8746;161.682;1953.99
0;0;283.999;854.78;1953.99
0;0;227.747;674.402;1953.99
0;0;281.344;733.425;1953.99
0;0;208.111;733.425;1953.99
0;0;215.066;559.92;1953.99
1;5;439.049;1109.56;1953.99
1;8;556.955;1242.44;1953.99
1;5;459.29;1276.19;1953.99
0;0;238.598;616.547;1953.99
0;0;225.304;733.425;1953.99
0;0;162.76;450.62;1953.99
0;0;368.694;917.022;1953.99
0;0;317.544;854.78;1953.99
0;0;300.71;616.547;1953.99
0;0;276.656;917.022;1953.99
0;0;244.344;733.425;1953.99
0;0;151.992;450.62;1953.99
0;0;125.418;398.107;1953.99
0;0;212.428;504.586;1953.99
1;5;462.466;1208.89;1953.99
0;0;233.038;616.547;1953.99
0;0;245.935;559.92;1953.99
0;0;169.775;450.62;1953.99
0;0;311.624;674.402;1953.99
0;0;217.16;559.92;1953.99
0;0;248.274;559.92;1953.99
1;2;382.632;885.775;1953.99
0;0;173.408;347.148;1953.99
0;0;123.887;450.62;1953.99
0;0;178.552;398.107;1953.99
0;0;252.322;559.92;1953.99
0;0;184.903;616.547;1953.99
0;0;168.498;398.107;1953.99
0;0;133.994;450.62;1953.99
0;0;138.615;398.107;1953.99
0;0;132.416;504.586;1953.99
0;0;211.791;559.92;1953.99
0;0;228.362;674.402;1953.99
0;0;178.546;559.92;1953.99
0;0;108.331;398.107;1953.99
0;0;227.908;504.586;1953.99
0;0;127.595;450.62;1953.99
0;0;351.245;674.402;1953.99
0;0;263.721;616.547;1953.99
0;0;301.484;854.78;1953.99
0;0;268.734;854.78;1953.99
0;0;364.09;793.567;1953.99
1;3;435.721;1482.97;1953.99
0;0;273.312;616.547;1953.99
0;0;136.59;398.107;1953.99
0;0;249.983;559.92;1953.99
0;0;210.161;504.586;1953.99
0;0;329.106;733.425;1953.99
1;9;664.325;1660.57;1953.99
1;9;715.827;1805.91;1953.99
0;0;192.911;504.586;1953.99
0;0;89.0245;347.148;1953.99
