win;survivors;average;best;bestever
0;0;63216.7;1.20988e+06;1.20988e+06
1;12;950390;1.24674e+06;1.24674e+06
1;8;730388;1.2824e+06;1.2824e+06
0;0;876660;1.24437e+06;1.2824e+06
0;0;784414;1.2762e+06;1.2824e+06
0;0;810202;1.2762e+06;1.2824e+06
1;3;1.08402e+06;1.25863e+06;1.2824e+06
1;12;1.03255e+06;1.23908e+06;1.2824e+06
1;12;1.01338e+06;1.31471e+06;1.31471e+06
1;9;1.1207e+06;1.2981e+06;1.31471e+06
1;12;1.07546e+06;1.26823e+06;1.31471e+06
1;11;994103;1.23403e+06;1.31471e+06
1;11;1.13484e+06;1.27634e+06;1.31471e+06
1;7;1.07226e+06;1.30117e+06;1.31471e+06
1;2;1.07851e+06;1.27813e+06;1.31471e+06
1;13;966254;1.22617e+06;1.31471e+06
1;10;1.02179e+06;1.26685e+06;1.31471e+06
1;12;1.11173e+06;1.2623e+06;1.31471e+06
1;11;1.0292e+06;1.31698e+06;1.31698e+06
1;10;1.01038e+06;1.2414e+06;1.31698e+06
