win;survivors;average;best;bestever
0;0;43.4561;347.148;347.148
0;0;323.212;917.022;917.022
1;8;671.744;1769.31;1769.31
0;0;313.301;733.425;1769.31
0;0;300.191;733.425;1769.31
0;0;301.874;674.402;1769.31
1;9;748.046;1842.67;1842.67
0;0;290.451;854.78;1842.67
0;0;297.767;559.92;1842.67
0;0;200.115;450.62;1842.67
1;8;678.179;1588.98;1842.67
1;9;770.491;1660.57;1842.67
1;8;715.762;1660.57;1842.67
1;6;585.546;2142.8;2142.8
0;0;272.75;733.425;2142.8
1;14;1102.24;1805.91;2142.8
1;11;851.33;1660.57;2142.8
0;0;332.813;917.022;2142.8
0;0;351.487;793.567;2142.8
1;10;752.456;1482.97;2142.8
1;2;413.246;1378.69;2142.8
1;9;688.179;1624.68;2142.8
0;0;304.793;854.78;2142.8
1;11;832.175;1660.57;2142.8
0;0;291.004;559.92;2142.8
0;0;246.205;559.92;2142.8
0;0;297.563;616.547;2142.8
1;6;531.346;1242.44;2142.8
0;0;222.509;674.402;2142.8
0;0;247.344;504.586;2142.8
0;0;371.356;793.567;2142.8
1;8;629.057;1310.15;2142.8
1;9;697.323;1588.98;2142.8
0;0;309.386;793.567;2142.8
0;0;343.025;917.022;2142.8
0;0;297.06;793.567;2142.8
0;0;198.837;450.62;2142.8
1;4;460.839;1553.45;2142.8
0;0;236.081;559.92;2142.8
0;0;246.55;504.586;2142.8
0;0;295.264;793.567;2142.8
1;3;405.964;1378.69;2142.8
0;0;318.595;980.255;2142.8
0;0;319.619;793.567;2142.8
0;0;296.297;854.78;2142.8
0;0;271.942;559.92;2142.8
1;2;415.318;1378.69;2142.8
1;7;585.217;1805.91;2142.8
0;0;215.522;616.547;2142.8
0;0;348.015;980.255;2142.8
0;0;279.403;559.92;2142.8
1;9;664.844;1448.01;2142.8
1;5;483.921;1378.69;2142.8
0;0;160.352;398.107;2142.8
0;0;302.346;674.402;2142.8
0;0;256.411;616.547;2142.8
1;11;857.315;1769.31;2142.8
1;12;889.296;1879.61;2142.8
1;14;1128.71;1879.61;2142.8
1;11;903.906;1769.31;2142.8
1;10;822.725;1660.57;2142.8
0;0;196.041;450.62;2142.8
1;10;770.419;1696.64;2142.8
1;11;839.071;1696.64;2142.8
1;8;652.575;1518.12;2142.8
0;0;284.619;616.547;2142.8
1;9;720.886;1696.64;2142.8
1;4;484.833;1175.56;2142.8
1;6;534.319;1276.19;2142.8
0;0;396.884;1044.44;2142.8
0;0;394.911;1175.56;2142.8
0;0;245.779;504.586;2142.8
1;3;443.425;1344.32;2142.8
0;0;313.472;674.402;2142.8
1;4;473.737;1378.69;2142.8
0;0;375.501;917.022;2142.8
1;3;426.773;1553.45;2142.8
0;0;311.102;674.402;2142.8
0;0;317.155;854.78;2142.8
0;0;298.866;674.402;2142.8
1;8;622.076;1769.31;2142.8
0;0;275.378;559.92;2142.8
1;8;649.851;1413.25;2142.8
0;0;297.132;733.425;2142.8
1;9;658.003;1553.45;2142.8
0;0;345.669;1044.44;2142.8
0;0;200.872;450.62;2142.8
1;4;440.24;1208.89;2142.8
0;0;248.905;616.547;2142.8
0;0;167.215;559.92;2142.8
1;4;428.738;1175.56;2142.8
1;7;567.608;1344.32;2142.8
1;2;392.403;1175.56;2142.8
0;0;314.625;674.402;2142.8
0;0;334.276;733.425;2142.8
0;0;350.701;1044.44;2142.8
0;0;334.307;854.78;2142.8
0;0;347.572;793.567;2142.8
1;4;405.773;1175.56;2142.8
0;0;254.287;616.547;2142.8
