win;survivors;average;best;bestever
0;0;18.6947;204.926;204.926
0;0;92.8687;250.396;250.396
0;0;224.286;504.586;504.586
0;0;135.955;398.107;504.586
0;0;128.297;347.148;504.586
0;0;140.943;347.148;504.586
0;0;47.2426;161.682;504.586
0;0;140.275;297.863;504.586
0;0;159.04;347.148;504.586
1;10;778.469;1769.31;1769.31
0;0;194.073;504.586;1769.31
0;0;203.799;504.586;1769.31
1;3;432.062;1310.15;1769.31
0;0;193.155;398.107;1769.31
0;0;229.818;616.547;1769.31
0;0;328.894;674.402;1769.31
0;0;231.685;616.547;1769.31
0;0;341.416;917.022;1769.31
1;9;736.094;1879.61;1879.61
0;0;307.521;917.022;1879.61
0;0;291.608;793.567;1879.61
0;0;331.09;917.022;1879.61
1;10;811.534;1769.31;1879.61
0;0;256.449;616.547;1879.61
0;0;290.571;733.425;1879.61
1;8;634.618;1553.45;1879.61
1;7;589.135;1448.01;1879.61
1;6;548.144;1448.01;1879.61
1;15;1178.85;1879.61;1879.61
0;0;314.419;733.425;1879.61
0;0;284.235;733.425;1879.61
1;4;471.974;1310.15;1879.61
0;0;222.51;559.92;1879.61
0;0;303.67;793.567;1879.61
1;7;608.22;1518.12;1879.61
1;13;1033.24;1879.61;1879.61
0;0;351.338;917.022;1879.61
1;7;563.482;1696.64;1879.61
0;0;373.113;1109.56;1879.61
1;9;730.217;1696.64;1879.61
1;8;670.665;1553.45;1879.61
0;0;257.263;559.92;1879.61
1;5;533.937;1413.25;1879.61
1;5;541.112;1518.12;1879.61
1;12;953.981;1805.91;1879.61
1;3;445.128;1175.56;1879.61
1;9;716.965;1842.67;1879.61
0;0;343.075;733.425;1879.61
1;6;559.521;1344.32;1879.61
0;0;263.647;559.92;1879.61
0;0;378.209;917.022;1879.61
0;0;368.995;1044.44;1879.61
0;0;419.337;1175.56;1879.61
1;4;474.303;1842.67;1879.61
1;9;759.929;1588.98;1879.61
1;4;483.241;1276.19;1879.61
1;7;630.234;1518.12;1879.61
1;8;665.54;1553.45;1879.61
0;0;303.399;616.547;1879.61
1;10;826.649;1660.57;1879.61
1;9;811.862;1660.57;1879.61
1;10;831.888;1660.57;1879.61
1;10;824.275;1769.31;1879.61
1;14;1120.62;1842.67;1879.61
1;12;1049.56;1842.67;1879.61
1;11;877.315;1732.89;1879.61
0;0;416.498;1378.69;1879.61
1;6;598.301;1518.12;1879.61
1;11;931.695;1842.67;1879.61
1;8;680.185;1553.45;1879.61
1;4;472.182;1310.15;1879.61
1;14;1092.53;1879.61;1879.61
0;0;268.269;559.92;1879.61
1;7;582.843;1588.98;1879.61
1;9;715.613;1588.98;1879.61
1;8;630.189;1553.45;1879.61
0;0;361.366;980.255;1879.61
0;0;398.893;1044.44;1879.61
1;4;501.931;1588.98;1879.61
1;12;956.679;1842.67;1879.61
1;3;473.648;1344.32;1879.61
1;7;606.881;1448.01;1879.61
0;0;357.955;793.567;1879.61
1;11;875.119;1732.89;1879.61
1;10;787.4;1660.57;1879.61
1;10;794.36;1769.31;1879.61
1;11;849.949;1769.31;1879.61
0;0;275.852;616.547;1879.61
0;0;272.85;504.586;1879.61
0;0;299.735;917.022;1879.61
0;0;363.262;980.255;1879.61
0;0;163.009;450.62;1879.61
0;0;196.409;504.586;1879.61
0;0;320.198;559.92;1879.61
1;8;679.34;1660.57;1879.61
1;4;477.259;1310.15;1879.61
0;0;338.764;854.78;1879.61
0;0;271.843;504.586;1879.61
1;8;656.565;1696.64;1879.61
1;5;537.135;1310.15;1879.61
