win;survivors;average;best;bestever
0;0;41.7935;250.396;250.396
0;0;165.047;559.92;559.92
0;0;81.0161;250.396;559.92
0;0;204.086;616.547;616.547
0;0;294.25;616.547;616.547
0;0;179.01;398.107;616.547
0;0;285.9;733.425;733.425
0;0;250.167;733.425;733.425
0;0;140.339;398.107;733.425
0;0;218.677;504.586;733.425
0;0;296.795;980.255;980.255
1;6;561.37;1842.67;1842.67
1;8;649.154;1879.61;1879.61
1;10;771.193;1732.89;1879.61
1;10;777.565;1732.89;1879.61
0;0;378.996;1044.44;1879.61
0;0;292.938;1044.44;1879.61
0;0;262.151;793.567;1879.61
0;0;179.895;559.92;1879.61
0;0;169.472;616.547;1879.61
0;0;289.13;917.022;1879.61
0;0;114.95;398.107;1879.61
0;0;89.6325;398.107;1879.61
0;0;128.325;398.107;1879.61
0;0;73.226;204.926;1879.61
0;0;55.6977;204.926;1879.61
0;0;179.384;504.586;1879.61
0;0;86.0803;398.107;1879.61
0;0;133.606;398.107;1879.61
0;0;161.215;733.425;1879.61
0;0;138.714;616.547;1879.61
0;0;178.258;616.547;1879.61
0;0;104.862;297.863;1879.61
0;0;68.1474;297.863;1879.61
0;0;270.93;616.547;1879.61
0;0;173.039;559.92;1879.61
0;0;288.489;733.425;1879.61
1;7;597.964;1518.12;1879.61
1;7;585.073;1413.25;1879.61
0;0;381.475;917.022;1879.61
0;0;186.471;504.586;1879.61
0;0;166.442;398.107;1879.61
0;0;149.197;504.586;1879.61
0;0;254.226;559.92;1879.61
0;0;278.004;793.567;1879.61
0;0;228.031;616.547;1879.61
0;0;316.744;793.567;1879.61
0;0;296.389;733.425;1879.61
0;0;213.644;674.402;1879.61
0;0;195.128;559.92;1879.61
0;0;274.19;793.567;1879.61
0;0;168.752;398.107;1879.61
0;0;122.908;398.107;1879.61
0;0;258.729;793.567;1879.61
0;0;279.893;854.78;1879.61
0;0;178.936;504.586;1879.61
0;0;283.464;674.402;1879.61
0;0;256.449;793.567;1879.61
0;0;240.481;559.92;1879.61
0;0;188.721;559.92;1879.61
0;0;242.232;559.92;1879.61
0;0;200.766;450.62;1879.61
0;0;194.999;450.62;1879.61
0;0;105.115;347.148;1879.61
0;0;74.7278;398.107;1879.61
0;0;117.18;398.107;1879.61
0;0;74.6861;297.863;1879.61
0;0;192.31;616.547;1879.61
0;0;98.9914;297.863;1879.61
0;0;140.534;450.62;1879.61
0;0;126.452;674.402;1879.61
0;0;148.523;450.62;1879.61
0;0;137.671;504.586;1879.61
0;0;136.145;450.62;1879.61
0;0;131.066;347.148;1879.61
0;0;83.8575;297.863;1879.61
0;0;297.213;854.78;1879.61
0;0;205.308;504.586;1879.61
0;0;183.049;504.586;1879.61
0;0;127.803;297.863;1879.61
0;0;212.769;504.586;1879.61
0;0;107.097;347.148;1879.61
0;0;335.88;733.425;1879.61
0;0;230.007;674.402;1879.61
0;0;76.4264;297.863;1879.61
0;0;226.555;616.547;1879.61
0;0;121.502;398.107;1879.61
0;0;342.807;793.567;1879.61
0;0;238.196;616.547;1879.61
0;0;248.686;559.92;1879.61
0;0;200.917;504.586;1879.61
0;0;238.571;616.547;1879.61
0;0;258.965;616.547;1879.61
0;0;137.777;559.92;1879.61
0;0;95.774;398.107;1879.61
0;0;195.696;450.62;1879.61
0;0;214.169;559.92;1879.61
0;0;158.654;347.148;1879.61
0;0;122.083;347.148;1879.61
0;0;94.1471;398.107;1879.61
