win;survivors;average;best;bestever
0;0;210680;1.26651e+06;1.26651e+06
1;7;717090;1.21742e+06;1.26651e+06
0;0;477256;1.2488e+06;1.26651e+06
1;13;844149;1.35794e+06;1.35794e+06
0;0;859101;1.22365e+06;1.35794e+06
1;9;857507;1.25942e+06;1.35794e+06
0;0;804926;1.2864e+06;1.35794e+06
0;0;866572;1.22988e+06;1.35794e+06
0;0;753432;1.26374e+06;1.35794e+06
0;0;798232;1.20429e+06;1.35794e+06
1;9;845463;1.24393e+06;1.35794e+06
1;9;1.03279e+06;1.33422e+06;1.35794e+06
0;0;950830;1.32081e+06;1.35794e+06
1;2;904519;1.23915e+06;1.35794e+06
0;0;1.04814e+06;1.30119e+06;1.35794e+06
0;0;880225;1.2725e+06;1.35794e+06
0;0;972565;1.34571e+06;1.35794e+06
1;3;1.00753e+06;1.27615e+06;1.35794e+06
0;0;1.02097e+06;1.21876e+06;1.35794e+06
0;0;972239;1.21861e+06;1.35794e+06
