win;survivors;average;best;bestever
0;0;12.1981;120.97;120.97
0;0;199.807;504.586;504.586
0;0;204.191;616.547;616.547
0;0;247.792;559.92;616.547
0;0;197.065;559.92;616.547
0;0;163.016;398.107;616.547
0;0;167.478;450.62;616.547
0;0;310.948;793.567;793.567
1;5;524.164;1624.68;1624.68
0;0;200.11;450.62;1624.68
0;0;149.448;297.863;1624.68
0;0;129.048;559.92;1624.68
0;0;229.728;674.402;1624.68
0;0;260.812;559.92;1624.68
0;0;300.653;674.402;1624.68
1;11;875.654;1805.91;1805.91
0;0;349.645;917.022;1805.91
1;9;735.139;1805.91;1805.91
1;9;691.217;1916.72;1916.72
0;0;353.399;854.78;1916.72
1;8;623.065;1732.89;1916.72
0;0;222.48;559.92;1916.72
1;12;987.811;1732.89;1916.72
0;0;343.012;854.78;1916.72
0;0;343.303;980.255;1916.72
1;10;781.176;1732.89;1916.72
0;0;193.353;504.586;1916.72
0;0;231.224;559.92;1916.72
0;0;387.302;917.022;1916.72
1;6;562.837;1732.89;1916.72
0;0;399.989;1310.15;1916.72
1;14;1150.27;1879.61;1916.72
1;8;673.043;1732.89;1916.72
1;8;656.98;1624.68;1916.72
1;8;663.216;1624.68;1916.72
0;0;400.98;980.255;1916.72
0;0;428.487;1109.56;1916.72
1;8;659.345;1805.91;1916.72
1;12;992.246;1769.31;1916.72
1;7;617.321;1696.64;1916.72
0;0;293.203;559.92;1916.72
0;0;296.751;616.547;1916.72
0;0;274.643;733.425;1916.72
0;0;379.166;980.255;1916.72
0;0;328.002;616.547;1916.72
1;6;578.171;1588.98;1916.72
1;5;516.42;1448.01;1916.72
0;0;345.081;733.425;1916.72
0;0;359.938;917.022;1916.72
1;7;648.873;1518.12;1916.72
1;7;624.101;1624.68;1916.72
1;8;664.624;1696.64;1916.72
0;0;147.231;450.62;1916.72
1;13;1039.74;1953.99;1953.99
1;10;822.648;1732.89;1953.99
0;0;253.171;559.92;1953.99
0;0;318.199;793.567;1953.99
1;10;796.577;1624.68;1953.99
0;0;357.664;917.022;1953.99
0;0;374.19;1044.44;1953.99
1;4;468.937;1242.44;1953.99
0;0;238.78;559.92;1953.99
0;0;349.779;980.255;1953.99
1;6;551.236;1805.91;1953.99
0;0;300.364;733.425;1953.99
0;0;264.252;559.92;1953.99
0;0;372.678;980.255;1953.99
0;0;222.611;559.92;1953.99
0;0;322.355;793.567;1953.99
0;0;278.279;674.402;1953.99
0;0;313.08;854.78;1953.99
0;0;288.672;733.425;1953.99
1;11;877.89;1916.72;1953.99
0;0;251.442;674.402;1953.99
0;0;275.187;793.567;1953.99
0;0;350.273;793.567;1953.99
1;7;583.981;1413.25;1953.99
0;0;278.89;559.92;1953.99
0;0;260.711;504.586;1953.99
1;9;713.709;1769.31;1953.99
1;3;412.109;1076.89;1953.99
0;0;252.769;917.022;1953.99
0;0;215.685;450.62;1953.99
0;0;246.898;504.586;1953.99
1;7;565.653;1482.97;1953.99
0;0;253.223;674.402;1953.99
0;0;318.997;793.567;1953.99
0;0;353.143;733.425;1953.99
0;0;238.773;504.586;1953.99
0;0;271.05;559.92;1953.99
0;0;356.634;674.402;1953.99
0;0;269.08;674.402;1953.99
1;5;510.695;1413.25;1953.99
0;0;294.493;616.547;1953.99
0;0;319.719;616.547;1953.99
1;9;690.532;1518.12;1953.99
1;7;570.149;1378.69;1953.99
0;0;245.38;733.425;1953.99
1;2;386.338;948.517;1953.99
0;0;297.599;616.547;1953.99
